location,number_of_cows,farm_size,date,product_name,brand,quantity,price_per_unit,total_value,shelf_life,quantity_sold,price_per_unit_sold,total_revenue,customer_location,sales_channel,quantity_in_stock,id
Bihar,100,Medium,2022-01-01,Paneer,Mother Dairy,595,44.3,26393.497,12,137,46.82,6414.34,Madhya Pradesh,Wholesale,458,26
Tamil Nadu,97,Medium,2019-10-02,Ghee,Amul,581,43.88,25516.22,136,86,41.49,3568.14,Delhi,Wholesale,495,27
Bihar,25,Large,2022-04-28,Milk,Raj,652,61.24,39952.976,1,389,65.53,25491.17,Telangana,Retail,263,28
Chandigarh,81,Small,2020-01-11,Ghee,Amul,486,27.23,13245.4889,129,384,25.51,9795.84,Kerala,Online,102,29
Maharashtra,52,Large,2021-01-28,Lassi,Sudha,524,49.39,25915.4269,17,167,45.86,7658.62,Gujarat,Retail,357,30
Jharkhand,79,Medium,2021-06-09,Curd,Amul,267,27.31,7297.505099999999,6,116,22.62,2623.92,Kerala,Wholesale,151,31
Chandigarh,42,Medium,2019-02-23,Buttermilk,Mother Dairy,801,34.8,27883.5,14,292,38.9,11358.8,Telangana,Wholesale,509,32
Delhi,42,Large,2019-12-11,Lassi,Raj,112,91.62,10334.736,13,104,93.93,9768.72,Bihar,Retail,8,33
Tamil Nadu,88,Medium,2022-02-08,Lassi,Sudha,797,92.04,73403.7408,13,715,89.08,63692.2,Haryana,Wholesale,82,34
Rajasthan,98,Medium,2019-10-23,Milk,Sudha,865,46.37,40110.5137,2,302,42.34,12786.68,Delhi,Retail,563,35
Chandigarh,67,Medium,2019-09-20,Butter,Amul,8,90.79,768.9913000000001,38,3,87.28,261.84,Delhi,Retail,5,36
Haryana,37,Medium,2019-08-15,Lassi,Amul,681,78.56,53534.71200000001,16,552,74.45,41096.4,Haryana,Retail,129,37
Jharkhand,65,Medium,2019-11-28,Buttermilk,Mother Dairy,410,41.31,16956.9288,11,141,43.02,6065.82,Delhi,Online,269,38
Rajasthan,53,Large,2021-03-08,Ice Cream,Dodla Dairy,351,58.25,20452.1575,29,305,62.31,19004.55,Rajasthan,Online,46,39
Kerala,76,Small,2021-05-15,Paneer,Sudha,9,82.89,810.6641999999999,14,2,85.42,170.84,Madhya Pradesh,Wholesale,7,40
Telangana,98,Small,2021-05-26,Lassi,Amul,707,98.37,69567.26400000001,12,145,101.64,14737.8,Kerala,Retail,562,41
Delhi,19,Medium,2021-02-07,Ghee,Mother Dairy,960,68.66,65932.82479999999,137,956,69.79,66719.24,Tamil Nadu,Wholesale,4,42
Telangana,19,Large,2020-09-22,Yogurt,Palle2patnam,65,82.43,5423.894,30,26,84.9,2207.4,Maharashtra,Online,39,43
Rajasthan,20,Large,2019-11-17,Ghee,Sudha,685,92.97,63762.5448,143,634,95.09,60287.06,Chandigarh,Retail,51,44
Delhi,31,Small,2022-12-18,Yogurt,Dodla Dairy,754,20.21,15243.3925,28,290,21.16,6136.4,Rajasthan,Online,464,45
Chandigarh,74,Small,2021-01-02,Ice Cream,Palle2patnam,750,86.58,64995.606,26,696,83.73,58276.08,Delhi,Wholesale,54,46
Chandigarh,90,Large,2019-12-17,Ghee,Amul,838,61.21,51346.0085,147,392,61.22,23998.24,Jharkhand,Wholesale,446,47
Delhi,94,Small,2019-08-24,Butter,Mother Dairy,791,45.01,35610.5617,37,534,48.01,25637.34,Chandigarh,Wholesale,257,48
Uttar Pradesh,100,Medium,2021-11-07,Milk,Mother Dairy,62,95.03,5966.9337,21,16,93.22,1491.52,Bihar,Wholesale,46,49
Gujarat,58,Large,2020-04-15,Yogurt,Amul,931,45.36,42262.365600000005,26,834,40.97,34168.98,Gujarat,Wholesale,97,50
Uttar Pradesh,77,Large,2020-09-10,Lassi,Raj,398,22.2,8837.598,14,304,23.26,7071.04,Uttar Pradesh,Online,94,51
Rajasthan,22,Medium,2021-09-10,Yogurt,Mother Dairy,548,27.07,14860.6179,25,386,25.29,9761.94,Telangana,Online,162,52
Maharashtra,79,Medium,2019-05-11,Yogurt,Amul,357,68.17,24377.592,27,9,65.87,592.83,Chandigarh,Wholesale,348,53
Chandigarh,19,Medium,2021-10-11,Ghee,Raj,455,44.64,20319.6816,144,420,48.13,20214.6,Madhya Pradesh,Online,35,54
Jharkhand,40,Large,2022-06-15,Milk,Raj,156,81.7,12824.449,1,103,80.26,8266.78,Chandigarh,Retail,53,55
Bihar,38,Large,2020-09-14,Curd,Sudha,120,44.7,5396.184,5,78,48.75,3802.5,Bihar,Online,42,56
Karnataka,23,Small,2022-07-10,Buttermilk,Sudha,23,53.76,1288.0896,11,23,56.57,1301.11,Madhya Pradesh,Online,0,57
Delhi,35,Large,2020-05-11,Milk,Sudha,373,38.88,14510.4048,1,166,36.18,6005.88,Rajasthan,Retail,207,58
Chandigarh,38,Small,2019-08-03,Curd,Mother Dairy,551,64.01,35278.4714,5,203,65.1,13215.3,Telangana,Wholesale,348,59
Maharashtra,28,Medium,2021-06-25,Yogurt,Mother Dairy,595,35.46,21131.6778,27,54,34.78,1878.12,Madhya Pradesh,Online,541,60
Haryana,32,Medium,2022-07-02,Milk,Amul,928,50.94,47319.6942,22,869,54.74,47569.06,Jharkhand,Online,59,61
Karnataka,24,Medium,2020-10-09,Buttermilk,Raj,118,20.18,2385.6796,12,84,15.64,1313.76,Jharkhand,Online,34,62
Uttar Pradesh,90,Large,2019-07-13,Cheese,Amul,197,99.96,19717.11,29,150,100.74,15111.0,Jharkhand,Wholesale,47,63
Gujarat,41,Small,2020-03-10,Ice Cream,Palle2patnam,69,95.3,6631.927,28,36,98.67,3552.12,Gujarat,Retail,33,64
Uttar Pradesh,38,Small,2019-04-02,Butter,Amul,705,77.71,54819.7424,40,279,80.91,22573.89,Tamil Nadu,Retail,426,65
Jharkhand,69,Large,2020-06-09,Curd,Amul,336,65.23,21947.938100000003,6,108,61.59,6651.72,West Bengal,Wholesale,228,66
Jharkhand,39,Large,2021-10-03,Yogurt,Mother Dairy,616,80.74,49741.4918,27,362,83.85,30353.7,Uttar Pradesh,Wholesale,254,67
West Bengal,54,Small,2020-08-17,Ghee,Mother Dairy,343,43.79,15061.1326,135,320,43.76,14003.2,Karnataka,Retail,23,68
Jharkhand,95,Medium,2022-01-05,Milk,Sudha,999,49.06,49049.2068,2,499,48.14,24021.86,Rajasthan,Online,500,69
Rajasthan,98,Medium,2022-10-18,Cheese,Amul,211,63.08,13342.0508,59,206,64.22,13229.32,West Bengal,Online,5,70
Uttar Pradesh,78,Large,2022-05-15,Yogurt,Palle2patnam,504,76.58,38621.5914,28,490,81.37,39871.3,Delhi,Retail,14,71
Gujarat,17,Medium,2021-08-25,Butter,Parag Milk Foods,535,13.66,7309.466,39,18,8.83,158.94,Jharkhand,Retail,517,72
Uttar Pradesh,30,Large,2019-03-11,Ghee,Sudha,729,16.37,11937.167700000002,85,458,12.86,5889.88,Rajasthan,Wholesale,271,73
Maharashtra,62,Medium,2020-11-01,Buttermilk,Sudha,149,86.32,12875.4912,13,140,81.47,11405.8,Uttar Pradesh,Online,9,74
Gujarat,61,Small,2019-09-06,Paneer,Raj,674,43.22,29135.4664,11,230,42.79,9841.7,Gujarat,Retail,444,75
Tamil Nadu,55,Large,2020-09-16,Cheese,Dynamix Dairies,627,28.93,18147.4997,30,465,29.8,13857.0,West Bengal,Online,162,76
Madhya Pradesh,77,Small,2019-10-25,Curd,Raj,865,45.95,39771.103500000005,7,581,49.38,28689.78,Telangana,Wholesale,284,77
West Bengal,89,Large,2019-11-10,Buttermilk,Raj,582,52.51,30570.7969,13,556,53.75,29885.0,Madhya Pradesh,Retail,26,78
Karnataka,94,Large,2022-11-23,Milk,Sudha,280,78.72,22049.472,29,163,75.83,12360.29,Rajasthan,Retail,117,79
Kerala,66,Medium,2020-05-06,Lassi,Sudha,331,67.3,22296.49,12,135,67.91,9167.85,Delhi,Retail,196,80
Delhi,29,Large,2019-11-23,Milk,Sudha,229,29.49,6758.2233,28,159,34.04,5412.36,Kerala,Wholesale,70,81
West Bengal,88,Medium,2022-07-22,Cheese,Dynamix Dairies,38,75.82,2896.324,44,3,77.91,233.73,Rajasthan,Online,35,82
Gujarat,66,Medium,2021-07-05,Curd,Amul,242,26.85,6504.6810000000005,7,158,25.72,4063.76,Jharkhand,Retail,84,83
Madhya Pradesh,48,Medium,2022-10-18,Cheese,Britannia Industries,898,25.44,22845.3744,82,674,27.1,18265.4,Uttar Pradesh,Online,224,84
Chandigarh,73,Large,2020-02-27,Lassi,Amul,648,99.03,64184.3139,16,597,103.49,61783.53,Kerala,Retail,51,85
Tamil Nadu,29,Medium,2019-11-16,Ghee,Mother Dairy,303,35.1,10666.89,147,296,36.16,10703.36,Rajasthan,Wholesale,7,86
Uttar Pradesh,58,Medium,2022-11-13,Butter,Parag Milk Foods,615,95.65,58847.706000000006,28,281,96.42,27094.02,Delhi,Retail,334,87
Gujarat,14,Large,2022-04-21,Milk,Raj,105,27.19,2867.7293,1,50,27.0,1350.0,West Bengal,Wholesale,55,88
Chandigarh,46,Large,2022-04-21,Yogurt,Amul,928,82.34,76459.27720000001,24,552,78.38,43265.76,Gujarat,Retail,376,89
Karnataka,43,Large,2020-06-16,Yogurt,Dodla Dairy,862,98.65,85108.31450000001,23,7,99.66,697.62,Chandigarh,Online,855,90
Jharkhand,66,Large,2021-08-21,Milk,Sudha,904,21.58,19519.7574,2,129,22.4,2889.6,Maharashtra,Online,775,91
Karnataka,37,Small,2019-01-09,Paneer,Mother Dairy,969,61.34,59443.9806,7,779,60.15,46856.85,Kerala,Wholesale,190,92
Rajasthan,72,Large,2022-08-13,Cheese,Amul,215,27.78,6000.202200000001,74,39,23.87,930.93,Madhya Pradesh,Wholesale,176,93
Delhi,82,Large,2019-06-05,Buttermilk,Sudha,394,85.32,33674.0976,12,104,81.24,8448.96,West Bengal,Online,290,94
Chandigarh,23,Large,2019-01-26,Milk,Mother Dairy,86,48.91,4222.400299999999,28,84,45.16,3793.44,Rajasthan,Online,2,95
Chandigarh,28,Large,2021-06-09,Cheese,Amul,448,64.9,29101.809000000005,39,36,63.9,2300.4,Maharashtra,Online,412,96
Madhya Pradesh,13,Small,2019-12-27,Ice Cream,Dodla Dairy,661,76.05,50322.285,29,275,73.34,20168.5,Chandigarh,Online,386,97
Kerala,58,Small,2021-04-04,Milk,Sudha,662,73.51,48724.63330000001,23,131,75.47,9886.57,Uttar Pradesh,Online,531,98
Bihar,44,Small,2021-11-11,Curd,Sudha,408,34.92,14272.851600000002,7,187,34.0,6358.0,Chandigarh,Online,221,99
Maharashtra,92,Large,2019-11-19,Butter,Parag Milk Foods,771,19.17,14797.8981,33,554,15.52,8598.08,Chandigarh,Retail,217,100
West Bengal,59,Medium,2020-08-21,Buttermilk,Sudha,833,20.43,17030.0394,10,463,16.51,7644.13,Madhya Pradesh,Retail,370,101
Telangana,61,Medium,2021-03-02,Curd,Mother Dairy,520,91.25,47501.1,7,358,91.27,32674.66,Uttar Pradesh,Online,162,102
Delhi,55,Large,2022-09-03,Cheese,Dynamix Dairies,252,85.18,21539.466600000003,81,137,87.69,12013.53,Gujarat,Wholesale,115,103
Madhya Pradesh,73,Medium,2019-11-18,Lassi,Amul,333,16.94,5646.6102,13,127,12.67,1609.09,Madhya Pradesh,Wholesale,206,104
Gujarat,22,Large,2021-03-02,Paneer,Sudha,374,49.82,18638.6584,8,148,51.77,7661.96,Tamil Nadu,Wholesale,226,105
Chandigarh,39,Large,2022-05-17,Milk,Amul,571,93.68,53550.29840000001,1,480,98.2,47136.0,Karnataka,Online,91,106
Tamil Nadu,33,Medium,2022-01-05,Milk,Sudha,234,14.61,3423.4152,21,190,16.3,3097.0,Telangana,Wholesale,44,107
Jharkhand,76,Small,2019-06-21,Milk,Raj,62,94.83,5924.0301,1,48,90.06,4322.88,Delhi,Wholesale,14,108
Tamil Nadu,25,Medium,2020-02-20,Ice Cream,Mother Dairy,249,89.82,22409.1918,25,180,87.33,15719.4,Bihar,Retail,69,109
Bihar,46,Small,2019-02-19,Butter,Warana,351,51.05,17931.3125,32,350,51.0,17850.0,Maharashtra,Wholesale,1,110
Uttar Pradesh,89,Medium,2022-07-04,Ice Cream,Palle2patnam,653,60.52,39526.822400000005,23,148,61.4,9087.2,West Bengal,Online,505,111
Maharashtra,96,Medium,2020-10-28,Ghee,Mother Dairy,306,81.46,25004.961599999995,92,62,78.91,4892.42,Karnataka,Wholesale,244,112
Karnataka,84,Small,2019-04-06,Butter,Parag Milk Foods,332,30.78,10226.0394,40,328,27.15,8905.2,Telangana,Wholesale,4,113
Uttar Pradesh,15,Small,2019-12-18,Milk,Amul,313,32.66,10230.745,1,73,32.72,2388.56,Rajasthan,Online,240,114
Tamil Nadu,95,Small,2019-02-24,Curd,Amul,488,42.69,20868.1527,6,167,41.02,6850.34,Delhi,Wholesale,321,115
Chandigarh,66,Large,2021-07-21,Ghee,Sudha,93,86.93,8111.438300000001,68,76,89.11,6772.36,West Bengal,Online,17,116
Madhya Pradesh,89,Large,2020-06-16,Butter,Amul,901,53.26,47996.84679999999,34,637,51.25,32646.25,Bihar,Wholesale,264,117
West Bengal,21,Small,2019-10-23,Ghee,Mother Dairy,51,52.64,2717.8032000000003,62,37,53.69,1986.53,Rajasthan,Online,14,118
Haryana,20,Medium,2021-01-03,Butter,Amul,650,57.57,37422.2271,31,74,52.88,3913.12,Karnataka,Online,576,119
Karnataka,56,Large,2019-09-26,Yogurt,Dodla Dairy,365,69.14,25295.5604,25,286,65.31,18678.66,Maharashtra,Online,79,120
Madhya Pradesh,52,Large,2022-11-21,Milk,Mother Dairy,448,75.81,33969.7029,2,329,71.75,23605.75,Haryana,Wholesale,119,121
Gujarat,35,Medium,2022-09-01,Ghee,Amul,346,60.81,21098.6376,86,127,60.5,7683.5,Delhi,Retail,219,122
Kerala,28,Large,2022-02-06,Curd,Mother Dairy,120,82.44,9933.1956,6,25,81.53,2038.25,Uttar Pradesh,Wholesale,95,123
Tamil Nadu,32,Medium,2022-06-15,Ghee,Raj,338,35.93,12144.34,63,15,31.92,478.8,Kerala,Online,323,124
Bihar,13,Medium,2020-03-15,Yogurt,Amul,727,36.85,26824.2205,23,578,33.43,19322.54,Bihar,Retail,149,125
Rajasthan,28,Small,2022-01-26,Yogurt,Amul,537,48.49,26041.5545,30,69,51.52,3554.88,Delhi,Retail,468,126
Kerala,66,Medium,2020-07-13,Buttermilk,Mother Dairy,171,42.04,7226.255599999999,8,150,46.04,6906.0,Haryana,Wholesale,21,127
Maharashtra,74,Medium,2022-01-26,Milk,Sudha,833,37.3,31072.392,22,280,40.12,11233.6,Gujarat,Online,553,128
West Bengal,15,Small,2022-02-13,Paneer,Raj,164,61.72,10162.8152,14,14,57.35,802.9,Maharashtra,Retail,150,129
Tamil Nadu,70,Small,2021-11-15,Buttermilk,Sudha,948,48.5,46025.045,14,568,43.84,24901.12,Jharkhand,Wholesale,380,130
West Bengal,85,Large,2020-10-19,Paneer,Sudha,272,91.07,24800.1824,7,237,90.1,21353.7,Karnataka,Retail,35,131
Delhi,10,Large,2021-08-12,Curd,Raj,312,82.16,25704.5776,5,171,84.4,14432.4,Chandigarh,Retail,141,132
Chandigarh,80,Large,2022-09-20,Lassi,Raj,273,19.1,5232.445000000001,12,91,17.16,1561.56,Bihar,Retail,182,133
Rajasthan,60,Small,2021-08-25,Yogurt,Amul,520,31.5,16397.955,28,476,32.86,15641.36,West Bengal,Wholesale,44,134
Delhi,50,Small,2022-06-21,Yogurt,Dodla Dairy,601,43.67,26263.5747,26,351,39.29,13790.79,Madhya Pradesh,Online,250,135
Telangana,86,Small,2020-11-23,Paneer,Amul,304,24.64,7513.228800000001,11,284,22.2,6304.8,Uttar Pradesh,Wholesale,20,136
Delhi,57,Medium,2022-12-28,Butter,Mother Dairy,987,69.0,68170.62,36,246,65.63,16144.98,Bihar,Online,741,137
Delhi,70,Large,2022-03-27,Buttermilk,Amul,76,86.26,6601.477800000001,9,35,88.21,3087.35,Jharkhand,Wholesale,41,138
West Bengal,64,Large,2019-08-10,Milk,Sudha,513,76.65,39353.643,1,297,75.13,22313.61,Rajasthan,Retail,216,139
Uttar Pradesh,72,Large,2020-11-06,Paneer,Raj,553,35.2,19496.928,13,522,39.54,20639.88,Rajasthan,Retail,31,140
Delhi,83,Small,2021-05-06,Buttermilk,Amul,801,57.51,46091.3895,12,267,60.57,16172.19,Karnataka,Retail,534,141
Uttar Pradesh,71,Small,2022-02-13,Ghee,Sudha,851,23.4,19925.334,135,219,27.07,5928.33,West Bengal,Wholesale,632,142
Delhi,58,Large,2019-05-18,Yogurt,Palle2patnam,299,34.4,10295.231999999998,29,277,31.0,8587.0,Chandigarh,Online,22,143
Telangana,77,Small,2020-08-12,Curd,Raj,833,93.26,77738.7382,6,805,91.05,73295.25,Bihar,Retail,28,144
West Bengal,90,Large,2021-05-14,Curd,Mother Dairy,809,80.62,65261.89000000001,7,153,84.1,12867.3,Delhi,Online,656,145
Telangana,78,Large,2019-02-11,Ghee,Sudha,114,75.55,8665.585,122,22,74.7,1643.4,Delhi,Wholesale,92,146
Kerala,40,Small,2019-09-18,Butter,Amul,140,53.43,7503.1749,35,128,52.59,6731.52,Tamil Nadu,Wholesale,12,147
Delhi,41,Large,2022-09-15,Yogurt,Mother Dairy,590,49.02,28962.486600000004,26,435,49.51,21536.85,Chandigarh,Online,155,148
Uttar Pradesh,20,Small,2019-01-27,Ghee,Sudha,792,59.56,47206.6604,106,726,60.52,43937.52,Uttar Pradesh,Retail,66,149
Maharashtra,23,Medium,2020-05-01,Yogurt,Palle2patnam,239,21.33,5102.562599999999,26,104,24.84,2583.36,Madhya Pradesh,Online,135,150
Chandigarh,79,Medium,2020-09-16,Ghee,Raj,768,32.55,25018.9065,125,637,36.43,23205.91,Gujarat,Retail,131,151
Telangana,100,Large,2019-09-17,Ice Cream,Amul,388,29.65,11519.3215,25,198,26.72,5290.56,West Bengal,Retail,190,152
Bihar,32,Large,2022-04-27,Buttermilk,Raj,397,32.39,12869.5187,9,125,30.96,3870.0,Delhi,Online,272,153
Delhi,93,Large,2021-01-25,Ice Cream,Dodla Dairy,34,72.6,2512.686,28,24,73.86,1772.64,Bihar,Retail,10,154
Rajasthan,39,Small,2019-07-05,Butter,Mother Dairy,168,13.18,2227.1564,28,65,9.21,598.65,Telangana,Retail,103,155
Karnataka,33,Medium,2020-07-22,Ghee,Mother Dairy,265,42.34,11247.1976,133,47,38.48,1808.56,Karnataka,Wholesale,218,156
Karnataka,68,Large,2022-01-15,Butter,Mother Dairy,43,92.62,4056.756,26,9,95.32,857.88,Maharashtra,Retail,34,157
Chandigarh,75,Large,2022-04-20,Curd,Mother Dairy,410,66.24,27210.7296,5,54,63.97,3454.38,Madhya Pradesh,Retail,356,158
Haryana,93,Small,2022-05-18,Lassi,Mother Dairy,678,50.66,34354.0658,13,526,49.4,25984.4,West Bengal,Online,152,159
Jharkhand,35,Small,2021-04-01,Paneer,Sudha,131,98.36,12895.9796,9,10,102.76,1027.6,Jharkhand,Wholesale,121,160
Bihar,26,Large,2021-12-01,Buttermilk,Raj,792,77.24,61226.60319999999,10,61,79.92,4875.12,Gujarat,Retail,731,161
Haryana,26,Large,2021-10-06,Ghee,Sudha,434,39.28,17061.268,131,75,39.66,2974.5,Kerala,Wholesale,359,162
Madhya Pradesh,60,Medium,2020-06-04,Ghee,Raj,388,76.7,29771.105,115,387,77.97,30174.39,Chandigarh,Retail,1,163
Madhya Pradesh,99,Small,2022-04-24,Paneer,Sudha,845,29.42,24882.5534,8,672,25.45,17102.4,Chandigarh,Retail,173,164
Delhi,38,Large,2020-09-20,Buttermilk,Mother Dairy,834,97.04,80934.2712,8,85,98.75,8393.75,Tamil Nadu,Retail,749,165
Haryana,71,Small,2022-10-20,Lassi,Amul,973,12.84,12493.4484,16,286,11.32,3237.52,Maharashtra,Wholesale,687,166
Rajasthan,35,Large,2022-01-12,Lassi,Mother Dairy,569,53.68,30570.2232,13,204,56.13,11450.52,Maharashtra,Retail,365,167
Maharashtra,27,Medium,2022-12-22,Milk,Amul,362,80.86,29285.0662,29,284,80.5,22862.0,Bihar,Wholesale,78,168
Delhi,32,Medium,2021-03-26,Cheese,Dynamix Dairies,292,92.86,27129.9776,69,177,88.29,15627.33,Haryana,Wholesale,115,169
Chandigarh,34,Large,2020-12-02,Curd,Amul,287,78.94,22720.5108,7,270,81.44,21988.8,West Bengal,Wholesale,17,170
Tamil Nadu,38,Large,2022-08-08,Yogurt,Amul,78,51.29,4031.9069,25,51,54.49,2778.99,Chandigarh,Retail,27,171
Maharashtra,75,Medium,2022-07-06,Yogurt,Mother Dairy,530,78.1,41410.182,27,301,73.22,22039.22,Gujarat,Wholesale,229,172
Haryana,40,Small,2020-08-24,Paneer,Raj,371,39.71,14756.236,10,165,36.83,6076.95,Maharashtra,Retail,206,173
Bihar,40,Medium,2022-06-03,Buttermilk,Mother Dairy,479,24.68,11835.0472,13,43,24.14,1038.02,Kerala,Online,436,174
Gujarat,45,Medium,2021-05-21,Buttermilk,Mother Dairy,269,11.93,3217.4017,10,77,15.44,1188.88,Delhi,Retail,192,175
Rajasthan,20,Small,2021-09-23,Butter,Warana,53,46.38,2473.9092000000005,25,29,42.91,1244.39,Chandigarh,Online,24,176
Haryana,91,Small,2020-11-26,Ice Cream,Mother Dairy,288,70.72,20375.8464,30,63,71.88,4528.44,Chandigarh,Online,225,177
Rajasthan,55,Large,2020-01-14,Buttermilk,Mother Dairy,102,52.36,5343.338,14,16,50.56,808.96,West Bengal,Online,86,178
Tamil Nadu,24,Large,2020-02-16,Milk,Amul,933,46.59,43481.5152,25,485,44.83,21742.55,Madhya Pradesh,Wholesale,448,179
Delhi,97,Large,2022-09-10,Cheese,Passion Cheese,207,96.89,20090.1415,50,67,97.48,6531.16,Gujarat,Wholesale,140,180
Jharkhand,12,Small,2019-03-03,Cheese,Dynamix Dairies,387,61.66,23877.2184,51,70,58.3,4081.0,Jharkhand,Wholesale,317,181
Delhi,18,Large,2020-07-15,Milk,Mother Dairy,946,65.09,61632.4192,2,658,69.31,45605.98,Bihar,Wholesale,288,182
Chandigarh,78,Medium,2021-05-22,Lassi,Mother Dairy,113,67.47,7674.7125,15,42,67.63,2840.46,Rajasthan,Retail,71,183
Rajasthan,78,Medium,2022-07-22,Ice Cream,Amul,648,50.34,32628.8778,26,155,48.09,7453.95,Haryana,Retail,493,184
Maharashtra,62,Large,2022-08-01,Butter,Mother Dairy,335,80.81,27122.2603,29,241,84.86,20451.26,Karnataka,Online,94,185
Tamil Nadu,33,Large,2022-01-04,Yogurt,Amul,335,72.01,24178.7977,25,302,69.31,20931.62,Kerala,Retail,33,186
Haryana,39,Medium,2022-10-19,Buttermilk,Sudha,140,24.08,3383.24,11,1,27.5,27.5,West Bengal,Wholesale,139,187
Rajasthan,41,Large,2021-12-23,Buttermilk,Amul,201,23.66,4766.307,14,193,19.21,3707.53,Tamil Nadu,Online,8,188
Delhi,26,Medium,2019-01-20,Butter,Parag Milk Foods,210,80.1,16849.836,38,197,83.02,16354.94,Bihar,Retail,13,189
Delhi,74,Large,2020-04-08,Lassi,Sudha,53,29.07,1566.2916,16,6,29.66,177.96,Uttar Pradesh,Online,47,190
Bihar,22,Small,2019-03-22,Paneer,Amul,4,50.15,236.2065,14,2,54.01,108.02,Chandigarh,Wholesale,2,191
Tamil Nadu,100,Medium,2019-06-28,Lassi,Raj,368,43.71,16105.8237,13,36,40.43,1455.48,Haryana,Retail,332,192
Tamil Nadu,67,Large,2019-06-03,Ice Cream,Palle2patnam,475,26.14,12418.3298,23,218,28.05,6114.9,Haryana,Retail,257,193
Delhi,31,Large,2020-01-06,Yogurt,Palle2patnam,251,80.55,20276.8515,24,107,76.53,8188.71,Maharashtra,Retail,144,194
Bihar,86,Small,2020-08-10,Yogurt,Dodla Dairy,836,69.41,58043.4184,23,127,70.15,8909.05,Delhi,Online,709,195
Delhi,22,Small,2022-02-06,Cheese,Amul,593,57.09,33908.605500000005,69,71,52.51,3728.21,Bihar,Wholesale,522,196
